id,agent,skills,intent,domain,complexity,keywords,description,use_when
1,researcher,research,research,general,simple,"research, investigate, explore, study, analyze, what is, how does, compare, look into, find out, understand, learn about, examine, explore options, technology comparison, best practices, documentation lookup, quick research, simple lookup, find info, basic search",Basic research with research skill,Simple research tasks requiring structured methodology
2,researcher,research|sequential-thinking,research,general,standard,"deep research, complex analysis, thorough investigation, systematic study, comprehensive research, multi-step analysis, detailed examination, research methodology, in-depth exploration, analytical research",Deep research with structured thinking,Complex research requiring step-by-step reasoning
3,researcher,research|backend-development,research,backend,standard,"api research, backend architecture, database comparison, authentication options, microservices patterns, server optimization, security research, oauth investigation, jwt research, backend technology, server architecture, api design patterns, rest vs graphql",Backend-focused research,Researching backend technologies APIs or architecture patterns
4,researcher,research|backend-development|sequential-thinking,research,backend,full,"complex api research, deep backend analysis, architectural investigation, system design research, performance analysis, backend architecture deep dive, microservices investigation, distributed systems research",Complex backend research with structured approach,Deep analysis of backend systems requiring systematic reasoning
5,researcher,research|frontend-design,research,frontend,standard,"ui framework comparison, frontend architecture, component library research, css framework, design system research, accessibility research, responsive design patterns, react vs vue, frontend technology comparison",Frontend-focused research,Researching frontend technologies UI libraries or design patterns
6,researcher,research|frontend-design|ui-ux-pro-max,research,frontend,full,"ux research, user experience analysis, design patterns research, accessibility audit research, usability study, design system comparison, ui best practices, frontend ux investigation",UX-focused research with design expertise,Researching user experience design systems or accessibility
7,researcher,repomix,research,codebase,simple,"analyze codebase, understand repository, code analysis, repository overview, codebase exploration, project structure, code understanding",Basic codebase analysis,Quick codebase overview and understanding
8,researcher,repomix|research,research,codebase,standard,"codebase exploration, package code, deep code analysis, architecture understanding, repository deep dive, code architecture, dependency analysis",Deep codebase analysis,Comprehensive codebase understanding
9,researcher,repomix|research|sequential-thinking,research,codebase,full,"codebase audit, code architecture review, systematic code analysis, dependency analysis, full repository audit, architectural review",Full codebase audit with structured approach,Comprehensive codebase audits and architecture reviews
10,researcher,ai-multimodal|media-processing,research,media,standard,"analyze image, analyze video, audio transcription, video analysis, image recognition, ocr, screenshot analysis, media analysis, visual content analysis",Multimedia analysis,Analyzing images videos or audio files
11,researcher,ai-multimodal|media-processing|research,research,media,full,"media research, visual analysis, content analysis, media processing research, deep media analysis, comprehensive visual study",Media analysis with research capabilities,Deep analysis of multimedia content
12,planner,planning,plan,general,simple,"plan, roadmap, strategy, outline, structure, simple plan, basic planning, task outline, project structure",Basic planning with structured approach,Creating simple plans or outlines
13,planner,planning|research,plan,general,standard,"implementation plan, architecture design, system design, technical plan, feature plan, technical specification, design document, solution architecture, detailed planning, comprehensive plan",Comprehensive planning with research,Creating detailed implementation plans for complex features
14,planner,planning|problem-solving|sequential-thinking,plan,general,full,"complex problem, stuck, difficult decision, multiple options, trade-off analysis, architectural decision, design choice, optimization strategy, complex planning, decision analysis",Planning with advanced problem-solving,Facing complex problems requiring structured thinking
15,planner,planning|backend-development,plan,backend,standard,"api design plan, backend architecture plan, database schema design, service design, microservices planning, backend implementation plan",Backend planning,Planning backend architectures and API designs
16,planner,planning|frontend-design,plan,frontend,standard,"ui architecture plan, component structure plan, frontend design plan, design system planning, ui implementation strategy",Frontend planning,Planning frontend architectures and component structures
17,planner,planning|web-frameworks|backend-development,plan,fullstack,full,"fullstack architecture, nextjs planning, full implementation plan, end to end design, complete system design, fullstack planning",Fullstack architecture planning,Planning complete fullstack implementations
18,code-executor,backend-development,execute,backend,simple,"implement api, build endpoint, create service, database implementation, server code, backend feature, api development, build api, create endpoint, add route, implement service",Backend implementation,Implementing backend features APIs or services
19,code-executor,backend-development|databases,execute,backend,standard,"implement database, create schema, database integration, query implementation, data layer, orm setup, database connection, sql implementation, prisma drizzle",Backend with database implementation,Implementing backend features with database integration
20,code-executor,backend-development|better-auth,execute,auth,standard,"authentication, login, signup, oauth, session management, user authentication, passkey, credentials, implement login, build auth, create signup, auth implementation",Authentication implementation,Implementing authentication login or user management
21,code-executor,backend-development|better-auth|sequential-thinking,execute,auth,full,"two factor, 2fa, mfa, multi-factor, totp, authenticator, security implementation, complex auth, advanced authentication",Complex auth with 2FA/MFA implementation,Implementing multi-factor authentication or complex security flows
22,code-executor,backend-development|payment-integration,execute,payment,standard,"stripe integration, sepay, polar, payment gateway, webhook handling, payment api, implement payment, checkout integration",Payment with backend integration,Implementing payment APIs and webhooks
23,code-executor,payment-integration|backend-development|web-frameworks,execute,payment,full,"complete checkout, full payment flow, subscription system, billing portal, payment dashboard, end to end payment, complete payment system",Complete payment system implementation,Building complete payment/subscription systems
24,code-executor,frontend-design,execute,frontend,simple,"implement ui, build component, create page, frontend feature, user interface, add component, create ui, build page",Frontend implementation,Implementing UI components or frontend features
25,code-executor,frontend-design|ui-styling,execute,frontend,standard,"react component, vue component, svelte component, styled component, css modules, tailwind component, styled ui, component styling",Frontend with styling,Implementing styled UI components
26,code-executor,frontend-design|ui-styling|ui-ux-pro-max,execute,frontend,full,"beautiful ui, stunning design, gorgeous layout, premium interface, polished component, professional ui, aesthetic component",Premium frontend with professional design,Creating polished production-ready UI components
27,code-executor,web-frameworks,execute,fullstack,simple,"implement nextjs, next.js, nextjs app, nextjs page, nextjs component, implement in next, build nextjs, create nextjs",Next.js implementation,Implementing features in Next.js applications
28,code-executor,web-frameworks|frontend-design,execute,fullstack,standard,"documentation system, docs site, docs website, implement documentation, build documentation, documentation app, docs app, sidebar navigation, docs with sidebar, documentation portal",Documentation website implementation,Building documentation sites or systems
29,code-executor,backend-development|web-frameworks,execute,fullstack,standard,"full stack, nextjs feature, full implementation, end to end, complete feature, api and ui, fullstack feature",Fullstack implementation,Implementing features spanning frontend and backend
30,code-executor,backend-development|web-frameworks|better-auth,execute,fullstack,full,"fullstack auth, nextjs authentication, complete login system, end to end auth, full auth implementation",Fullstack with authentication,Implementing complete auth flows across frontend and backend
31,code-executor,backend-development|web-frameworks|frontend-design|ui-ux-pro-max,execute,fullstack,complex,"complete saas feature, full product feature, production ready feature, comprehensive implementation, enterprise feature",Enterprise fullstack implementation,Building complete production-ready features
