word,synonyms,category
implement,"build, create, code, develop, write, make, construct, add, set up, configure, establish, generate, produce, craft, engineer",action
build,"implement, create, construct, make, develop, assemble, produce, generate, engineer, craft, fabricate, set up",action
create,"implement, build, make, generate, produce, construct, develop, design, craft, establish, initiate, spawn",action
fix,"repair, solve, resolve, debug, troubleshoot, patch, correct, remedy, mend, address, rectify, heal, cure",action
debug,"fix, troubleshoot, diagnose, investigate, trace, analyze, identify, locate, find, detect, solve, repair",action
research,"investigate, explore, study, analyze, examine, review, survey, probe, inquire, discover, uncover, assess, evaluate",action
design,"create, layout, mockup, wireframe, prototype, architect, plan, sketch, draft, conceptualize, visualize, style",action
review,"check, audit, assess, validate, inspect, examine, evaluate, analyze, scrutinize, verify, test, appraise",action
test,"verify, validate, check, examine, evaluate, assess, trial, experiment, probe, run tests, qa, quality assurance",action
plan,"design, architect, strategize, outline, structure, organize, schedule, blueprint, roadmap, scheme, map out",action
update,"modify, change, edit, revise, alter, amend, adjust, improve, enhance, upgrade, refresh, patch",action
delete,"remove, erase, drop, clear, destroy, eliminate, purge, wipe, truncate, discard, dispose",action
add,"insert, append, include, incorporate, attach, integrate, introduce, inject, embed, supplement",action
beautiful,"stunning, gorgeous, elegant, aesthetic, attractive, pretty, lovely, handsome, exquisite, magnificent, striking, premium, polished",adjective
fast,"quick, rapid, speedy, swift, efficient, performant, optimized, snappy, responsive, instant, immediate",adjective
simple,"easy, basic, straightforward, minimal, clean, plain, uncomplicated, elementary, fundamental, primitive",adjective
complex,"complicated, advanced, sophisticated, intricate, elaborate, difficult, challenging, deep, thorough, extensive",adjective
secure,"safe, protected, encrypted, authenticated, authorized, validated, verified, guarded, shielded, fortified",adjective
error,"bug, issue, problem, exception, failure, fault, defect, glitch, malfunction, crash, mistake, flaw",noun
api,"endpoint, route, service, interface, rest, graphql, grpc, http, request, response, backend",noun
component,"element, widget, module, part, unit, piece, block, section, fragment, item, entity",noun
page,"screen, view, route, layout, template, document, section, tab, panel, window",noun
user,"account, profile, customer, member, subscriber, client, visitor, guest, person, identity",noun
data,"information, content, records, entries, documents, objects, items, values, payload, response",noun
login,"signin, sign in, authenticate, auth, access, enter, log in, authentication, session",noun
signup,"register, sign up, create account, join, enroll, subscribe, onboard, registration",noun
dashboard,"panel, admin, control panel, console, overview, analytics, monitoring, management",noun
database,"db, datastore, storage, repository, store, persistence, data layer, backend",noun
frontend,"client, ui, interface, browser, web, client-side, presentation, view layer",noun
backend,"server, api, service, server-side, business logic, data layer, infrastructure",noun
fullstack,"full stack, full-stack, end to end, complete, comprehensive, entire stack",noun
mobile,"app, ios, android, native, device, phone, tablet, handheld, portable",noun
