domain,base_skills,enhanced_skills,keywords,frameworks,file_patterns,technical_terms
frontend,frontend-design,"ui-styling, ui-ux-pro-max, frontend-design-pro","ui, interface, component, button, form, modal, page, css, style, layout, responsive, navigation, menu, sidebar, header, footer, card, input, select, dropdown, checkbox, radio, tooltip, popover, dialog, toast, notification, animation, transition, hover, focus, accessibility, a11y, aria, semantic, html, dom, virtual dom, jsx, tsx, template, slot, props, state, event, handler, click, submit, onChange, className, tailwind, styled, css-in-js, sass, scss, less","React, Vue, Svelte, Angular, Solid, Qwik, Astro, Preact, Next.js, Nuxt, SvelteKit, Remix",".tsx, .jsx, .vue, .svelte, .astro, .css, .scss, .sass, .less, .html","component, hook, useState, useEffect, reactive, computed, ref, props, emit, slot, directive, lifecycle, mount, render, hydration, ssr, csr, ssg, isr"
backend,backend-development,"databases, better-auth, payment-integration","api, endpoint, server, service, route, rest, graphql, grpc, websocket, http, request, response, middleware, controller, handler, resolver, schema, model, entity, repository, query, mutation, subscription, authentication, authorization, session, token, jwt, oauth, passport, cors, helmet, rate limit, validation, sanitization, error handling, logging, monitoring, caching, redis, queue, job, worker, cron, scheduler, microservice, monolith, serverless, lambda, edge function","Express, Fastify, NestJS, Hono, Elysia, FastAPI, Django, Flask, Spring Boot, Laravel, Rails, Gin, Echo, Fiber",".ts, .js, .py, .go, .java, .rb, .php, .rs, .cs","endpoint, route, controller, service, repository, middleware, guard, interceptor, pipe, filter, decorator, dto, entity, migration, seed, factory"
auth,better-auth,"backend-development, databases","login, signup, signin, signout, logout, register, authentication, authorization, session, token, jwt, oauth, oauth2, openid, oidc, saml, sso, single sign on, passkey, webauthn, fido, biometric, fingerprint, face id, mfa, 2fa, two factor, totp, otp, magic link, passwordless, password, hash, bcrypt, argon2, scrypt, salt, pepper, refresh token, access token, bearer, credentials, identity, user, account, profile, permission, role, rbac, acl, policy, claim","Passport, NextAuth, Auth.js, Lucia, Better-Auth, Clerk, Auth0, Firebase Auth, Supabase Auth, Keycloak",".ts, .js, .py","session, token, jwt, oauth, provider, callback, signIn, signOut, getSession, useSession, withAuth, protected, public, guest, authenticated"
payment,payment-integration,"backend-development, web-frameworks","payment, checkout, billing, subscription, invoice, receipt, refund, chargeback, dispute, payout, transfer, balance, customer, product, price, plan, tier, trial, coupon, discount, promo, tax, vat, gst, currency, exchange, wallet, card, bank, ach, sepa, ideal, sofort, giropay, bancontact, eps, p24, boleto, oxxo, pix, upi, paynow, grabpay, alipay, wechat, klarna, afterpay, affirm, zip","Stripe, PayPal, Square, Braintree, Adyen, Mollie, Paddle, Lemon Squeezy, Gumroad, Polar, SePay",".ts, .js, .py","checkout, session, intent, subscription, customer, product, price, webhook, event, signature, idempotency, connect, transfer, payout"
database,databases,"backend-development, sequential-thinking","database, db, sql, nosql, query, table, column, row, record, document, collection, index, constraint, foreign key, primary key, unique, nullable, default, migration, seed, schema, model, entity, relation, join, aggregate, group, order, limit, offset, pagination, cursor, transaction, acid, isolation, lock, deadlock, n+1, eager, lazy, raw, orm, query builder, connection, pool, replica, shard, partition, backup, restore, vacuum, analyze, explain","PostgreSQL, MySQL, MariaDB, SQLite, MongoDB, Redis, Elasticsearch, DynamoDB, Supabase, PlanetScale, Neon, Turso, Prisma, Drizzle, TypeORM, Sequelize, Knex, Mongoose",".sql, .prisma, .ts, .js","model, schema, migration, seed, query, mutation, transaction, relation, include, select, where, orderBy, take, skip, create, update, delete, upsert, findFirst, findMany, findUnique, aggregate, groupBy"
mobile,mobile-development,"ui-styling, ui-ux-pro-max","mobile, ios, android, app, native, hybrid, cross-platform, device, screen, touch, gesture, swipe, tap, pinch, zoom, scroll, haptic, vibration, notification, push, deep link, universal link, app link, store, play store, app store, testflight, beta, release, build, bundle, ipa, apk, aab, simulator, emulator, device, orientation, landscape, portrait, safe area, notch, keyboard, input, picker, modal, sheet, navigation, tab, stack, drawer","React Native, Flutter, Expo, Ionic, Capacitor, NativeScript, Swift, SwiftUI, Kotlin, Jetpack Compose",".tsx, .jsx, .dart, .swift, .kt, .java","View, Text, Image, ScrollView, FlatList, TouchableOpacity, Pressable, SafeAreaView, StatusBar, Navigation, Screen, Stack, Tab, Drawer, Modal, Alert, AsyncStorage, Linking, Share, Permissions"
fullstack,web-frameworks,"backend-development, frontend-design, databases","fullstack, full stack, full-stack, nextjs, next.js, nuxt, nuxtjs, sveltekit, remix, astro, app router, pages router, server component, client component, server action, api route, middleware, layout, page, loading, error, template, ssr, ssg, isr, csr, hydration, streaming, suspense, edge, serverless, vercel, netlify, cloudflare, railway, render, fly","Next.js, Nuxt, SvelteKit, Remix, Astro, Blitz, RedwoodJS, T3 Stack",".tsx, .jsx, .vue, .svelte, .astro","page, layout, loading, error, template, route, middleware, api, server, client, action, loader, getServerSideProps, getStaticProps, generateStaticParams, generateMetadata, use server, use client"
ecommerce,shopify,"backend-development, payment-integration, web-frameworks","ecommerce, e-commerce, shop, store, product, catalog, inventory, stock, sku, variant, option, collection, category, cart, checkout, order, fulfillment, shipping, tracking, return, exchange, customer, address, discount, coupon, promotion, sale, bundle, subscription, recurring, marketplace, vendor, seller, merchant, storefront, headless, liquid, theme, section, block, snippet, asset, metafield, metaobject","Shopify, WooCommerce, Magento, BigCommerce, Medusa, Saleor, Vendure, Commerce.js, Swell",".liquid, .tsx, .jsx, .ts, .js","product, variant, collection, cart, checkout, order, customer, fulfillment, shipping, discount, metafield, storefront, admin, webhook, script, extension, app, theme, section, block"
media,ai-multimodal,"media-processing, research","image, video, audio, media, file, upload, download, stream, buffer, blob, base64, url, cdn, storage, bucket, object, resize, crop, compress, optimize, transcode, encode, decode, format, jpg, jpeg, png, gif, webp, avif, svg, mp4, webm, mov, avi, mp3, wav, ogg, aac, flac, pdf, doc, docx, xls, xlsx, ppt, pptx, txt, csv, json, xml, yaml, markdown, thumbnail, preview, gallery, carousel, lightbox, player, recorder, webcam, microphone, screen capture, ocr, transcription, caption, subtitle","FFmpeg, ImageMagick, Sharp, Cloudinary, Imgix, Mux, Cloudflare Stream, AWS S3, GCS, R2, Uploadthing, Filepond",".jpg, .png, .gif, .webp, .mp4, .mp3, .pdf","upload, download, stream, buffer, blob, file, image, video, audio, resize, crop, compress, optimize, transcode, thumbnail, preview, player, recorder"
ai,ai-multimodal,"google-adk-python, sequential-thinking","ai, artificial intelligence, ml, machine learning, llm, large language model, gpt, claude, gemini, llama, mistral, openai, anthropic, google ai, huggingface, langchain, llamaindex, rag, retrieval, embedding, vector, similarity, semantic, prompt, completion, chat, message, role, system, user, assistant, function, tool, agent, chain, memory, context, token, temperature, top p, max tokens, stream, batch, fine tune, train, inference, model, checkpoint, weight, parameter, quantization, lora, qlora, peft","OpenAI, Anthropic, Google AI, Hugging Face, LangChain, LlamaIndex, Vercel AI SDK, Instructor, Outlines",".py, .ts, .js, .ipynb","prompt, completion, chat, message, embedding, vector, similarity, retrieval, chain, agent, tool, function, memory, context, stream, generate, invoke, call"
