intent,agent,primary_keywords,expanded_keywords,question_patterns,action_verbs
research,researcher,"research, investigate, explore, study, analyze","what is, how does, compare, look into, find out, understand, learn about, examine, explore options, documentation lookup, best practices, technology comparison, evaluate, assess, discover, uncover, probe, survey, inspect","what, why, how, which, where, when, can, does, should, would, is there, are there, explain, describe, tell me about",false
plan,planner,"plan, design, architect, strategize, roadmap","create plan, implementation plan, technical plan, solution design, architecture design, system design, outline, structure, proposal, specification, blueprint, scheme, approach, methodology, framework, strategy, define, conceptualize","how should, what approach, how to structure, how to design, what architecture, how to implement, how to build, plan for",false
execute,code-executor,"implement, build, create, add, make, code, develop","write code, construct, set up, integrate, connect, wire up, establish, configure, deploy, install, generate, produce, assemble, craft, fabricate, compose, program, script, engineer, develop feature, add feature, implement feature","implement, build, create, add, make, code, develop, write, set up, configure, generate",true
debug,debugger,"fix, debug, troubleshoot, repair, resolve","solve, patch, correct, remedy, diagnose, identify issue, find bug, locate error, trace error, investigate error, analyze error, fix bug, fix error, fix issue, resolve problem, not working, broken, error, issue, problem, failing, crashed, exception","fix, debug, troubleshoot, repair, resolve, solve, patch, why is, why does, why am i getting",true
review,code-reviewer,"review, check, audit, assess, validate, inspect","examine code, evaluate code, analyze code, code quality, security review, performance review, best practices, pr review, pull request, code assessment, quality check, security audit, vulnerability check, code inspection","review, check, audit, assess, validate, inspect, examine",true
test,tester,"test, verify, validate, qa, quality","run tests, execute tests, unit test, integration test, e2e test, test coverage, quality assurance, verify functionality, validate behavior, check tests, testing, coverage, assertion, spec, test suite","test, verify, validate, run tests, check if",true
design,ui-ux-designer,"design, layout, mockup, wireframe, prototype","create ui, create interface, visual design, ui design, ux design, beautiful, stunning, gorgeous, aesthetic, elegant, modern design, user interface, user experience, component design, page design, screen design, app design, website design","design, create, layout, style, make beautiful, make stunning",true
docs,docs-manager,"document, documentation, readme, api docs, write docs","technical writing, create documentation, update docs, document code, api documentation, developer docs, user guide, reference guide, changelog, release notes","document, write docs, create readme, update documentation",true
git,git-manager,"commit, push, pull, merge, branch","git commit, git push, save changes, stage changes, version control, create branch, merge branch, git operations, source control","commit, push, pull, merge, branch, stage",true
manage,project-manager,"status, progress, track, milestone, sprint","project status, progress report, task tracking, milestone check, sprint review, project overview, kanban, backlog, velocity, burndown","status, progress, track, report, overview",false
